INSTNM,STABBR,CONTROL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS,PCTFLOAN,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,NPT4,RPY_3YR_70
University of Delaware,DE,public,585,605,585,27,27,27,9,18222,0.5156,54900,24195,0.794490599,16178,1
American University,DC,private,635,610,625,28,29,27,9,7094,0.5213,55900,24589,0.8010152284,36074,1
George Washington University,DC,private,640,655,655,29,31,29,9,10433,0.4003,65400,25350,0.8317165753,30057,1
Florida Agricultural and Mechanical University,FL,public,477,465,464,20,19,20,7,7995,0.6897,35400,27750,0.3064448189,12327,0
Florida Atlantic University,FL,public,525,525,515,23,23,22,8,24228,0.3986,40700,16836,0.5446190335,13372,0
Florida College,FL,private,530,525,504,23,22,21,7,555,0.6362,38200,13000,0.7346278317,20640,1
Florida International University,FL,public,545,535,535,24,23,24,8,39102,0.4628,43700,17250,0.5497295048,11845,0
University of Florida,FL,public,625,640,625,29,29,28,9,31879,0.3184,51100,15000,0.6568790677,11778,0
University of Miami,FL,private,645,675,640,30,31,30,9,10828,0.2944,54500,21500,0.7546145494,32297,1
University of North Florida,FL,public,585,570,550,24,24,23,8,13884,0.4,41100,17402,0.5759075908,11870,0
