Generation,Vial,Diet,DietHistory,Mass,WingLength,LarvalTime,PupalTime
F2,2,standard,PSS,1.3,2.045,5.5,4
F2,3,rich,RSR,1.6,2.045,3.5,4
F2,7,standard,PSS,1.6,2.046,5.5,5
F2,7,standard,RSS,1.4,2.046,5.5,4
F2,3,rich,PRR,1.5,2.047,4.5,4
F2,4,rich,RRR,1.4,2.047,3.5,4
F2,1,standard,RSS,1.6,2.047,5.5,4
F2,9,poor,RRP,1.8,2.047,4.5,4
F2,4,rich,RRR,1.7,2.047,4.5,4
F2,5,standard,RSS,1.4,2.047,5.5,4
F2,8,standard,RSS,1.4,2.047,5.5,4
F2,3,standard,SSS,1.5,2.048,5.5,4
F2,2,standard,PPS,1.4,2.048,5.5,5
F2,7,rich,PRR,1.6,2.048,4.5,4
F2,9,poor,RRP,1.4,2.049,4.5,4
F2,3,standard,SSS,1.5,2.049,5.5,4
F2,2,standard,RRS,1.7,2.05,5.5,5
F2,2,rich,PRR,1.6,2.05,4.5,4
F2,2,rich,RPR,1.6,2.05,4.5,4
F2,1,rich,RRR,1.6,2.05,4.5,4
F2,1,rich,RRR,1.9,2.05,3.5,4
F2,9,standard,RSS,1.5,2.05,5.5,4
F2,7,poor,RPP,1.4,2.051,4.5,4
